Country,CapLat,CapLon,DiviorcedCount,DiviorcedRow N %,NonDiviorcedCount,NonDiviorcedRow N %,LT HIGH SCHOOLCount,LT HIGH SCHOOLRow N %,HIGH SCHOOLCount,HIGH SCHOOLRow N %,JUNIOR COLLEGECount,JUNIOR COLLEGERow N %,BACHELORCount,BACHELORRow N %,GRADUATECount,GRADUATERow N %,LT $1000Count,LT $1000Row N %,$1000 TO 2999Count,$1000 TO 2999Row N %,$3000 TO 3999Count,$3000 TO 3999Row N %,$4000 TO 4999Count,$4000 TO 4999Row N %,$5000 TO 5999Count,$5000 TO 5999Row N %,$6000 TO 6999Count,$6000 TO 6999Row N %,$7000 TO 7999Count,$7000 TO 7999Row N %,$8000 TO 9999Count,$8000 TO 9999Row N %,$10000 TO 14999Count,$10000 TO 14999Row N %,$15000 TO 19999Count,$15000 TO 19999Row N %,$20000 TO 24999Count,$20000 TO 24999Row N %,MT$25000Count,MT$25000Row N %,MALECount,MALERow N %,FEMALECount,FEMALERow N %,WHITECount,WHITERow N %,BLACKCount,BLACKRow N %,OTHERCount,OTHERRow N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %,Count,Row N %
AFRICA,17.59,8.08,468,0.228,1585,77.20%,616,0.302,973,0.477,129,0.063,196,0.096,126,0.062,26,0.023,45,0.04,29,0.026,43,0.038,33,0.029,24,0.021,33,0.029,53,0.047,166,0.147,124,0.11,123,0.109,432,0.382,944,0.46,1109,0.54,25,0.012,2022,0.985,6,0.003,1686,0.882,145,0.076,3,0.002,32,0.017,14,0.007,0,0,0,0,0,0,16,0.008,4,0.002,11,0.006,0,0,1,0.001
AUSTRIA,48.12,16.22,28,0.137,177,86.30%,50,0.246,94,0.463,10,0.049,34,0.167,15,0.074,1,0.011,4,0.045,3,0.034,1,0.011,1,0.011,0,0,2,0.023,6,0.068,12,0.136,5,0.057,11,0.125,42,0.477,91,0.444,114,0.556,204,0.995,1,0.005,0,0,42,0.222,104,0.55,25,0.132,6,0.032,10,0.053,0,0,0,0,0,0,0,0,0,0,2,0.011,0,0,0,0
FRENCH CANADA,46.83,-71.25,99,0.229,334,77.10%,101,0.235,228,0.53,30,0.07,52,0.121,19,0.044,7,0.028,11,0.044,6,0.024,6,0.024,11,0.044,5,0.02,8,0.032,10,0.04,35,0.139,20,0.08,30,0.12,102,0.406,198,0.457,235,0.543,427,0.986,3,0.007,3,0.007,94,0.232,298,0.734,1,0.002,11,0.027,1,0.002,0,0,1,0.002,0,0,0,0,0,0,0,0,0,0,0,0
OTHER CANADA,59.57,-119.27,57,0.238,183,76.30%,62,0.261,126,0.529,12,0.05,20,0.084,18,0.076,3,0.026,4,0.035,5,0.043,6,0.052,4,0.035,1,0.009,5,0.043,6,0.052,15,0.13,12,0.104,9,0.078,45,0.391,97,0.404,143,0.596,232,0.967,7,0.029,1,0.004,110,0.498,96,0.434,2,0.009,12,0.054,0,0,0,0,0,0,0,0,0,0,0,0,1,0.005,0,0,0,0
CHINA,39.55,116.2,16,0.089,163,91.10%,17,0.096,28,0.157,7,0.039,59,0.331,67,0.376,2,0.017,5,0.042,2,0.017,3,0.025,5,0.042,2,0.017,1,0.008,1,0.008,9,0.076,2,0.017,9,0.076,78,0.655,79,0.441,100,0.559,13,0.073,4,0.022,162,0.905,33,0.188,24,0.136,0,0,75,0.426,13,0.074,26,0.148,0,0,3,0.017,0,0,0,0,2,0.011,0,0,0,0
CZECHOSLOVAKIA,50.05,14.22,52,0.128,353,87.20%,84,0.207,218,0.538,21,0.052,58,0.143,24,0.059,8,0.035,12,0.053,5,0.022,8,0.035,12,0.053,6,0.027,8,0.035,9,0.04,24,0.106,23,0.102,20,0.088,91,0.403,168,0.415,237,0.585,404,0.998,1,0.002,0,0,102,0.26,248,0.631,6,0.015,25,0.064,9,0.023,0,0,0,0,0,0,0,0,2,0.005,1,0.003,0,0,0,0
DENMARK,55.41,12.34,42,0.162,217,83.80%,33,0.127,135,0.521,24,0.093,45,0.174,22,0.085,3,0.024,7,0.055,2,0.016,3,0.024,3,0.024,4,0.031,5,0.039,8,0.063,18,0.142,14,0.11,10,0.079,50,0.394,107,0.413,152,0.587,258,0.996,0,0,1,0.004,208,0.86,20,0.083,1,0.004,11,0.045,0,0,0,0,0,0,0,0,0,0,0,0,1,0.004,0,0,1,0.004
ENGLAND & WALES,51.36,0,976,0.212,3620,78.80%,653,0.142,2288,0.499,230,0.05,913,0.199,505,0.11,84,0.036,107,0.045,71,0.03,56,0.024,67,0.028,64,0.027,47,0.02,80,0.034,292,0.124,228,0.096,223,0.094,1044,0.442,2076,0.452,2520,0.548,4568,0.994,24,0.005,4,0.001,3781,0.868,323,0.074,15,0.003,204,0.047,16,0.004,0,0,0,0,0,0,0,0,0,0,16,0.004,0,0,0,0
FINLAND,60.15,25.03,33,0.185,145,81.50%,48,0.27,96,0.539,4,0.022,23,0.129,7,0.039,6,0.069,4,0.046,4,0.046,5,0.057,3,0.034,5,0.057,2,0.023,4,0.046,11,0.126,4,0.046,7,0.08,32,0.368,75,0.421,103,0.579,178,1,0,0,0,0,140,0.843,13,0.078,0,0,9,0.054,2,0.012,0,0,0,0,0,0,0,0,0,0,2,0.012,0,0,0,0
FRANCE,48.5,2.2,141,0.22,499,78.00%,106,0.166,341,0.534,38,0.06,106,0.166,47,0.074,12,0.034,19,0.054,16,0.046,14,0.04,8,0.023,8,0.023,7,0.02,16,0.046,45,0.129,29,0.083,41,0.117,135,0.386,255,0.398,385,0.602,628,0.981,9,0.014,3,0.005,303,0.502,269,0.446,2,0.003,23,0.038,4,0.007,0,0,0,0,0,0,0,0,1,0.002,1,0.002,0,0,0,0
