Country Name,Country Code,CapLat,CapLon,Divorce rate,GNI per capita(men),GNI per capita(women),Ratio male to female,enrollment_tertiary_male,enrollment_tertiary_female,GPI_primary,GPI_secondary,GPI_tertiary,marriage_age_male,marriage_age_female,age_difference,employment ratio female,employment ratio male
Japan,JPN,36.204824,138.252924,1.7 ,27209,51326,1.886,0,0,#DIV/0!,#DIV/0!,0,30.5,29.2,1.3,50.05 ,68.86 
United Arab Emirates,ARE,23.424076,53.847818,0.9 ,24973,84130,3.369,30.56501961,33.02508926,0.980929971,0.91869998,0,0,0,0,48.77999878,92.06999969
Trinidad and Tobago,TTO,10.691803,-61.222503,2.2 ,22008,35435,1.61,0,0,#DIV/0!,#DIV/0!,0,31.8,29.2,2.6,49.11999893,69.02999878
Turkey,TUR,38.963745,35.243322,1.6 ,15576,34313,2.203,0,0,0.989870012,0.95292002,0.879809976,27.9,24.4,3.5,28.88 ,65.80 
Uruguay,URY,-32.522779,-55.765835,4.4 ,15282,24905,1.63,0,0,0.983910024,1.109410048,0,26.5,24,2.5,50.33000183,68.87999725
Suriname,SUR,3.919305,-56.027783,1.5 ,9132,17449,1.911,0,0,1.003790021,1.353776026,0,32.8,29.3,3.5,34.84999847,61.56999969
Bosnia and Herzegovina,BIH,43.915886,17.679076,0.6 ,7723,15856,2.053,0,0,#DIV/0!,#DIV/0!,0,29.4,25.7,3.7,27.61 ,46.90 
Lebanon,LBN,33.854721,35.862285,1.2 ,5523,21182,3.835,0,0,#DIV/0!,#DIV/0!,0,0,0,0,20.46 ,67.84 
Libya,LBY,26.3351,17.228331,0.3 ,4623,17472,3.779,0,0,#DIV/0!,#DIV/0!,0,0,0,0,25.57 ,55.20 
Tonga,TON,-21.178986,-175.198242,1.1 ,3769,7314,1.941,0,0,0.992675996,1.023193991,0,27.4,25.3,2.1,37.15999985,55.74000168
Nicaragua,NIC,12.865416,-85.207229,0.8 ,3434,6930,2.018,0,0,#DIV/0!,#DIV/0!,0,0,0,0,48.63000107,81.23999786
Qatar,QAT,25.354826,51.183884,1.0 ,59164,135961,2.298,6.674590111,51.5868988,0.996039987,#DIV/0!,1.870609999,0,0,0,57.02000046,94.34999847
Samoa,WSM,-13.759029,-172.104629,0.2 ,3778,7909,2.093,9.009400368,18.9405098,1.002640009,1.117215967,1.52433002,27.9,23.8,4.1,28.20999908,51.50999832
Uzbekistan,UZB,41.377491,64.585262,0.8 ,4687,8264,1.763,11.35441017,6.902540207,0.985339999,0.987500012,0.607919991,0,0,0,46.58000183,70.70999908
Maldives,MDV,3.202778,73.22068,5.9 ,7064,18501,2.619,16.61779022,59.77832031,1.019490004,#DIV/0!,1.722010016,25.5,22.5,3,40.56000137,77.58999634
Luxembourg,LUX,49.815273,6.129583,2.0 ,51154,78737,1.539,18.21810913,20.14929962,0.994459987,1.021340013,1.095839977,32.4,30.5,1.9,50.91 ,59.91 
South Africa,ZAF,-30.559482,22.937506,0.7 ,9060,14894,1.644,18.41967964,26.37453079,0.966669977,1.085710049,1.301609993,30.7,28,2.7,35.06999969,47.20000076
Belize,BLZ,17.189877,-88.49765,0.2 ,5689,8655,1.521,18.8174305,30.48455048,0.951569974,1.052379966,1.382719994,23.5,21.4,2.1,44.55 ,76.92 
Jamaica,JAM,18.109581,-77.297508,0.7 ,5898,9812,1.664,19.88180923,39.02759933,0.984019995,1.054069996,1.571020007,0,0,0,51.09 ,66.75 
Guatemala,GTM,15.783471,-90.230759,0.2 ,4768,9869,2.07,20.04137039,23.55789948,0.969860017,0.950789988,1.149270058,24.2,22.2,2,38.30 ,84.68 
Botswana,BWA,-22.328474,24.684866,6.9 ,12613,18521,1.468,20.48171997,29.24465942,0.976180002,#DIV/0!,1.299640059,29.8,22.9,6.9,51.65 ,66.06 
Azerbaijan,AZE,40.143105,47.576927,1.5 ,10089,21152,2.01,25.27021027,29.03384972,1.016330004,0.999470025,1.12962997,28.1,24.2,3.9,59.55 ,67.17 
El Salvador,SLV,13.794185,-88.89653,0.8 ,5226,8722,1.669,26.96767998,30.15279007,0.966369987,0.992269993,1.10563004,0,0,0,43.55 ,72.32 
Jordan,JOR,30.585164,36.238414,2.0 ,2459,13971,5.682,29.06492996,33.25255966,0.981679976,1.031530023,1.125929952,29.8,25,4.8,10.84 ,55.07 
Vietnam,VNM,14.058324,108.277199,0.5 ,5345,6383,1.194,29.90530968,31.71715927,1.017619967,#DIV/0!,1.195090055,26.9,22.8,4.1,71.58999634,80.91999817
Cuba,CUB,21.521757,-77.781167,3.2 ,5001,10045,2.009,29.95513916,50.50682068,0.949289978,1.018139958,1.406909943,25.4,22.1,3.3,40.77 ,65.46 
Mauritius,MUS,-20.348404,57.552152,1.1 ,12558,27986,2.229,33.86000824,47.45722961,1.017740011,1.071210027,1.286520004,29.2,23.9,5.3,40.54999924,69.81999969
Bahrain,BHR,25.930414,50.637772,1.5 ,18774,55130,2.937,33.95149994,64.26850891,0.995800018,1.035859942,1.47171998,0,0,0,42.40 ,86.72 
Indonesia,IDN,-0.789275,113.921327,0.7 ,7259,14385,1.982,34.00785065,38.9903183,0.968689978,1.024710059,1.127789974,27.1,22.4,4.7,49.99 ,78.41 
Egypt,EGY,26.820553,30.802498,0.9 ,4081,16489,4.073,34.57846069,35.77687836,1.002679944,0.982969999,1.033499956,28.1,22.3,5.8,16.78 ,65.08 
Tajikistan,TJK,38.861034,71.276093,0.4 ,2233,4392,1.967,35.47166824,26.85371017,0.98864001,0.894159993,0.757049978,24.2,20.7,3.5,29.12000084,47.5
Moldova,MDA,47.411631,28.369885,4.0 ,4849,6318,1.303,35.73553848,46.66392899,0.996619999,0.993470013,1.234189987,28.7,25,3.7,37.97999954,43.54000092
Kuwait,KWT,29.31166,47.481766,1.7 ,39570,93476,2.362,36.65578079,77.4696579,1.033270001,1.03934803,1.526839972,27.8,25.7,2.1,47.25 ,86.78 
Macedonia,MKD,41.608635,21.745275,1.0 ,9114,15897,1.744,36.69297028,48.55228043,0.998749971,0.973119974,1.244259953,0,0,0,33.40 ,52.35 
Panama,PAN,8.537981,-80.782127,0.9 ,13229,25102,1.897,37.3071785,58.59022141,0.97882998,1.056759953,1.370079994,0,0,0,48.36999893,76.55000305
Brazil,BRA,-14.235004,-51.92528,0.9 ,10073,17566,1.744,37.57003021,49.34313965,0.929180026,1.09908998,1.238600016,0,0,0,46.17 ,66.04 
Mexico,MEX,23.634501,-102.552784,1.1 ,11065,22873,2.067,39.83980179,40.62316895,1.004909992,1.075109959,1.019279957,25.9,23.2,2.7,42.02999878,76.08000183
Ecuador,ECU,-1.831239,-78.183406,1.1 ,7388,13307,1.801,41.5069809,48.39746857,1.011940002,1.028149962,1.239459991,0,0,0,53.75 ,79.29 
Dominican Republic,DOM,18.735693,-70.162651,1.9 ,8909,18975,2.13,42.98213959,77.01242065,0.932510018,1.08494997,1.441879988,24.8,21.5,3.3,46.52 ,74.50 
Hungary,HUN,47.162494,19.503304,1.9 ,19931,31413,1.576,43.3408699,53.91294861,0.994189978,1.001449943,1.196099997,35,32.9,2.1,46.04 ,62.82 
Romania,ROU,45.943161,24.96676,1.6 ,18217,27358,1.502,43.7858696,55.43648148,0.986720026,1.003710032,1.210160017,29.4,25.9,3.5,44.08 ,61.12 
Kazakhstan,KAZ,48.019573,66.923684,2.3 ,16814,28815,1.714,44.38798904,56.12923813,1.016600013,1.00917995,1.209179997,26.3,23.1,3.2,59.76 ,72.63 
China,CHN,35.86166,104.195397,1.5 ,12053,18295,1.518,44.7156601,53.97914886,1.00948,1.013219953,1.171609998,27.1,25.4,1.7,59.31 ,72.74 
Albania,ALB,41.153332,20.168331,1.6 ,9702,14028,1.446,45.73384094,69.81036377,1.032240033,0.989030004,1.344879985,29.2,25.1,4.1,41.64 ,56.85 
Thailand,THA,15.870032,100.992541,1.4 ,13793,17327,1.256,45.99023056,58.60076141,0.999930024,0.961390018,1.289440036,0,0,0,58.70999908,75.36000061
Malta,MLT,35.937496,14.375416,0.7 ,24255,44446,1.832,46.03255081,63.17398071,1.001929998,0.998430014,1.271340013,30.3,28,2.3,42.61 ,64.39 
Armenia,ARM,40.069099,45.038189,1.2 ,6358,12281,1.932,46.06830978,58.67676163,1.003209949,1.03788498,1.21487999,28.5,24.6,3.9,38.70 ,53.92 
Costa Rica,CRI,9.748917,-83.753428,2.6 ,10419,18851,1.809,49.58877945,62.16410828,1.011289954,1.071879983,1.202290058,28.6,25.9,2.7,40.88 ,69.89 
Iceland,ISL,64.963051,-19.020835,1.9 ,38004,53562,1.409,50.60147095,94.4238205,0.999949992,0.989719987,1.464100003,29.1,27.5,1.6,70.36 ,78.74 
Montenegro,MNE,42.708678,19.37439,1.2 ,12967,20692,1.596,50.90382004,66.11125183,1.000069976,1.013280034,1.230029941,31.1,27.1,4,38.21 ,51.63 
United Kingdom,GBR,55.378051,-3.435973,2.8 ,28043,50485,1.8,50.97230911,69.37931061,0.997129977,1.029299974,1.265310049,33.4,31.5,1.9,54.84999847,64.98000336
Colombia,COL,4.570868,-74.297333,0.2 ,10271,15692,1.528,52.192379,60.83253098,0.968620002,1.057350039,1.142030001,26.2,22.7,3.5,51.23 ,75.63 
Sweden,SWE,60.128161,18.643501,2.4 ,41743,53777,1.288,52.72135162,82.07650757,1.013479948,1.066089988,1.357660055,33.1,31,2.1,57.07 ,62.96 
Israel,ISR,31.046051,34.851612,1.9 ,24620,40910,1.662,52.81753159,74.47486115,1.009009957,1.01699996,1.290799975,30.2,26.2,4,56.65 ,66.35 
Italy,ITA,41.87194,12.56738,1.5 ,25767,45326,1.759,53.02466965,71.51538086,0.969990015,0.992980003,1.258559942,35.2,32.1,3.1,35.64 ,53.11 
Mongolia,MNG,46.862496,103.846656,0.6 ,8482,11759,1.386,53.17707062,75.31887817,0.977680027,1.02,1.293969989,25.1,23,2.1,50.34999847,62.13000107
Georgia,GEO,42.315407,43.356892,2.7 ,6177,12481,2.021,53.25228119,60.68053818,1.010810018,1.010570049,1.122419953,27.4,22.8,4.6,49.56 ,66.46 
Czech Republic,CZE,49.817492,15.472962,2.4 ,23224,38206,1.645,53.38811874,75.2736969,1.005599976,1.007150054,1.290750027,34.6,32.3,2.3,50.67 ,67.15 
Poland,POL,51.919438,19.145136,1.7 ,20367,32343,1.588,54.37163162,81.88044739,1.000579953,0.967459977,1.335960031,28.7,26.6,2.1,46.46 ,62.74 
Estonia,EST,58.595272,25.013607,2.5 ,21896,37043,1.692,55.41608047,84.82447052,1.000480056,1.022609949,1.346699953,36.1,33.5,2.6,54.12 ,67.04 
Serbia,SRB,44.016521,21.005859,1.3 ,10672,15474,1.45,56.72797012,76.85530853,1.000959992,1.007840037,1.261890054,30.4,27.1,3.3,40.36 ,54.32 
Croatia,HRV,45.1,15.2,1.5 ,17507,27164,1.552,57.38623047,78.8371582,1.001240015,1.04858005,1.272089958,30.2,27.4,2.8,40.02 ,52.23 
Switzerland,CHE,46.818188,8.227512,1.9 ,47938,67490,1.408,58.82378006,60.32978821,0.993239999,0.956870019,1.024960041,33.1,30.9,2.2,59.45 ,70.93 
France,FRA,46.227638,2.213749,2.5 ,32518,46218,1.421,58.83111954,73.04025269,0.994069993,1.007609963,1.194540024,33.7,32,1.7,45.90 ,54.63 
Canada,CAN,56.130366,-106.346771,2.3 ,34928,52070,1.491,59.06871033,79.29238892,0.997590005,1.013039947,1.255049944,28.7,27.2,1.5,57.58 ,65.40 
Portugal,PRT,39.399872,-8.224454,2.1 ,23095,32013,1.386,60.13021851,67.69994354,0.966840029,0.980300009,1.111809969,32.2,30.1,2.1,49.04 ,59.22 
Lithuania,LTU,55.169438,23.881275,3.0 ,24366,32934,1.352,61.40159988,84.0010376,0.999729991,0.958459973,1.269039989,35.3,32.8,2.5,52.90 ,61.07 
Bulgaria,BGR,42.733883,25.48583,1.5 ,14777,22930,1.552,63.71405029,78.8241806,0.993889987,0.973469973,1.191689968,35.6,32.5,3.1,46.66 ,57.84 
Slovenia,SVN,46.151241,14.995463,1.2 ,26898,34341,1.277,64.94869232,93.021698,1.003280044,1.024680018,1.301789999,35.9,34.1,1.8,49.72 ,59.76 
Norway,NOR,60.472024,8.468946,2.0 ,60153,75731,1.259,66.30628204,98.72164917,0.999180019,0.956719995,1.328349948,33.9,32,1.9,58.04 ,63.83 
New Zealand,NZL,-40.900557,174.885971,2.6 ,25872,42339,1.636,67.85504913,97.17176056,1.004330039,1.063789964,1.301699996,0,0,0,61.31000137,72.58999634
Denmark,DNK,56.26392,9.501785,2.6 ,40293,55624,1.38,68.35646057,93.5774765,0.993589997,1.010910034,1.269520044,33.7,31.9,1.8,54.00 ,61.89 
Belgium,BEL,50.503887,4.469936,2.0 ,33260,51302,1.542,69.28978729,90.46260834,1.000990033,1.120669961,1.234050035,28.6,26.3,2.3,44.51 ,54.90 
Cyprus,CYP,35.126413,33.429859,2.2 ,26580,36543,1.375,69.58511353,82.35413361,1.001080036,0.984399974,1.155050039,29.3,26.4,2.9,50.81 ,60.05 
Germany,DEU,51.165691,10.451526,1.9 ,37689,54843,1.455,69.81855011,70.70688629,1.002570033,0.939220011,1.01256001,34.8,32,2.8,53.17 ,63.55 
Saudi Arabia,SAU,23.885942,45.079162,1.1 ,17422,73945,4.244,70.03418732,69.34001923,1.014289975,0.900870025,0.990090013,30,26.6,3.4,17.96999931,76.22000122
Latvia,LVA,56.879635,24.603189,3.1 ,20822,29924,1.437,72.02320099,105.0589676,1.001929998,0.990149975,1.314450026,33.1,30.4,2.7,51.19 ,61.63 
Iran,IRN,32.427908,53.688046,1.3 ,6094,32017,5.254,73.3309021,62.85649109,1.057479978,0.963060021,0.857159972,27.5,23.5,4,14.33 ,64.20 
Ireland,IRL,53.41291,-8.24389,0.9 ,42771,64916,1.518,73.74134827,81.9967804,0.996930003,0.984260023,1.100679994,34.4,32.4,2,52.29 ,63.97 
United States,USA,37.09024,-95.712891,2.9 ,43899,66208,1.508,74.99719238,102.0113297,0.992340028,0.994930029,1.26481998,29.8,28,1.8,53.90 ,65.47 
Russia,RUS,61.52401,105.318756,4.2 ,19510,29671,1.521,75.03015137,89.11636353,0.995299995,0.97517997,1.158069968,0,0,0,52.40 ,67.16 
Ukraine,UKR,48.379433,31.16558,3.0 ,6082,10513,1.729,76.82852936,89.28794861,1.016942501,0.975134999,1.161489964,0,0,0,43.47 ,56.41 
Austria,AUT,47.516231,14.550072,1.8 ,35626,55591,1.56,78.05110168,92.46150208,0.997269988,0.959550023,1.155850053,29.8,27.1,2.7,52.24 ,62.42 
Singapore,SGP,1.352083,103.819836,1.5 ,69508,95809,1.378,78.9388504,91.19696808,0.998929977,0.98961997,1.134410024,0,0,0,59.38000107,75.80000305
Belarus,BLR,53.709807,27.953389,3.4 ,13479,19592,1.454,79.0907135,98.34384918,0.994480014,0.984709978,1.195770025,24.8,22.5,2.3,56.21 ,66.24 
Netherlands,NLD,52.132633,5.291266,1.9 ,38767,57123,1.473,79.30307007,90.91986847,0.999859989,1.013620019,1.127769947,34.3,32.3,2,55.03 ,66.11 
Finland,FIN,61.92411,25.748151,2.4 ,34504,47691,1.382,80.95852661,95.74749756,0.994870007,1.100409985,1.154459953,32.5,30.6,1.9,50.50 ,56.96 
Spain,ESP,40.463667,-3.74922,2.1 ,26954,41850,1.553,81.05325317,97.0281601,1.01662004,1.013620019,1.16463995,30.3,27.7,2.6,42.33 ,53.99 
Chile,CHL,-35.675147,-71.542969,0.2 ,15137,28809,1.903,82.46128082,94.66281128,0.971580029,1.003810048,1.128890038,29.3,27.4,1.9,47.22 ,69.29 
Australia,AUS,-25.274398,133.775136,2.0 ,35323,51857,1.468,93.83847046,133.3377686,0.999899983,0.887780011,1.296229959,31.2,29.9,1.3,56.40 ,66.89 
South Korea,KOR,35.907757,127.766922,2.1 ,22572,49297,2.184,104.7509995,82.84249878,0.997539997,0.99357003,0.790849984,33.9,31.5,2.4,51.22 ,70.48 
Greece,GRC,39.074208,21.824312,1.8 ,19658,29796,1.516,136.2320099,136.9972382,1.000290036,0.942969978,1.005589962,32.8,29.2,3.6,33.06 ,49.26 
